array_len,str_quick,str_merge,msd_radix,msd_radix_quick,merge_default,quick_default
100,1469,658,0,1123,626,1247
200,3450,1594,0,2282,1700,3304
300,5697,2553,0,3454,2627,6164
400,8316,3553,0,4562,3699,7534
500,11491,4423,0,5777,4276,9766
600,15191,5550,0,6892,5863,13331
700,19480,6667,0,8038,7211,16893
800,24353,7821,0,9243,8440,19829
900,29664,8889,0,10395,9370,23382
1000,35461,10024,0,11544,10648,26398
1100,41968,11070,0,12615,12455,30032
1200,48798,12163,0,13762,13347,33120
1300,56282,13333,0,15021,14893,35948
1400,64223,14582,0,16189,15171,41999
1500,72863,15971,0,17161,17303,43419
1600,81893,17221,0,18382,18879,48415
1700,91350,18349,0,19656,19720,49929
1800,101481,19536,0,21059,21349,55612
1900,112187,20832,0,22068,21804,56819
2000,122733,22172,0,23087,23896,57309
2100,119163,23683,0,24118,27065,56345
2200,124996,24522,0,25303,27781,62458
2300,131216,25421,0,26497,29268,65490
2400,138238,26584,0,27590,29212,65272
2500,145527,28129,0,28514,30932,68551
2600,153465,29428,0,29850,32393,71326
2700,203355,30032,0,30879,33578,69881
2800,216197,31821,0,32090,34903,72992
2900,225081,32882,0,33058,36101,66255
3000,237781,33500,0,34273,36630,64579
