array_len,str_quick,str_merge,msd_radix,msd_radix_quick,merge_default,quick_default
100,0,1,0,0,0,0
200,0,3,1,0,0,0
300,1,5,1,1,1,1
400,1,7,2,1,2,2
500,2,10,3,2,3,2
600,3,11,3,2,3,3
700,4,13,4,3,4,4
800,4,16,5,3,5,5
900,6,18,5,4,5,6
1000,7,21,7,4,6,7
1100,9,27,7,5,7,9
1200,9,25,7,5,8,8
1300,11,28,8,6,9,10
1400,14,30,9,6,9,12
1500,15,31,10,6,11,11
1600,18,43,13,7,11,12
1700,21,38,11,7,12,13
1800,21,39,12,8,13,14
1900,23,43,13,9,14,14
2000,26,43,13,11,15,14
2100,24,49,13,13,19,14
2200,26,49,14,9,16,16
2300,28,51,15,10,17,15
2400,30,57,15,11,18,16
2500,31,57,16,11,18,16
2600,33,60,18,11,20,18
2700,76,82,17,11,20,17
2800,46,65,22,18,23,20
2900,47,67,20,13,23,15
3000,49,70,23,15,33,15
