array_len,str_quick,str_merge,msd_radix,msd_radix_quick,merge_default,quick_default
100,1118,610,0,92,1589,1717
200,2438,1497,0,309,4049,3930
300,4060,2535,0,617,6149,6880
400,5763,3677,0,1034,8972,10014
500,7198,4880,0,1461,11620,12536
600,9515,6137,0,1991,14617,14975
700,10276,7457,0,2541,17540,19698
800,12389,8813,0,3141,19832,22965
900,14453,10190,0,3726,23315,25605
1000,16280,11621,0,4467,26240,30313
1100,18020,13051,0,5127,30032,33634
1200,18407,14552,0,5789,32909,38861
1300,24205,16011,0,6515,35603,41848
1400,23243,17592,0,7236,39127,46530
1500,25510,19112,0,7924,42227,51352
1600,29958,20712,0,8803,45162,53742
1700,29682,22258,0,9581,48416,59043
1800,29792,23918,0,10425,51498,64564
1900,33018,25559,0,11396,55193,67218
2000,35301,27170,0,12201,58057,70214
2100,39509,28798,0,12886,64051,75944
2200,40704,30480,0,13867,66521,81381
2300,40224,32174,0,15058,70085,83475
2400,44571,33969,0,15714,72363,89696
2500,46968,35622,0,16510,75652,93945
2600,46248,37337,0,17471,80042,98406
2700,54640,39168,0,18403,82554,101187
2800,51346,40851,0,19268,86453,107382
2900,60734,42587,0,20094,88653,113336
3000,55901,44430,0,21131,93441,118813
