array_len,str_quick,str_merge,msd_radix,msd_radix_quick,merge_default,quick_default
100,0,1,0,0,0,0
200,0,3,1,0,2,1
300,1,6,2,1,4,3
400,2,11,3,1,4,3
500,1,9,2,1,5,4
600,2,12,3,1,7,5
700,2,14,4,2,8,6
800,3,16,4,2,9,7
900,3,19,5,2,11,7
1000,4,24,7,3,12,9
1100,6,39,7,6,15,13
1200,7,37,6,4,15,11
1300,7,30,7,4,16,12
1400,7,38,13,5,18,15
1500,6,46,8,5,22,15
1600,7,35,9,5,20,15
1700,7,38,9,6,21,17
1800,7,41,10,6,24,19
1900,8,54,13,9,27,18
2000,8,45,11,7,25,19
2100,10,47,12,12,34,28
2200,16,63,14,8,33,24
2300,14,55,16,9,42,24
2400,12,71,20,13,33,30
2500,12,65,22,9,38,39
2600,12,83,19,11,36,32
2700,13,71,22,17,44,36
2800,12,107,30,17,58,43
2900,18,72,19,11,37,30
3000,14,74,28,12,41,41
