array_len,str_quick,str_merge,msd_radix,msd_radix_quick,merge_default,quick_default
100,1235,679,0,1475,639,1414
200,3290,1447,0,3090,1453,3262
300,4923,2309,0,4825,2345,5847
400,7096,3137,0,6476,3364,7259
500,9427,3870,0,7971,4424,8911
600,11987,4885,0,9581,5417,11882
700,14888,5812,0,11120,6264,13993
800,18120,6688,0,12597,7365,16278
900,20907,7430,0,14318,8462,18247
1000,26231,8209,0,15889,9754,20892
1100,29130,9210,0,17436,10789,23731
1200,33208,10435,0,19195,11642,26207
1300,38189,11528,0,20735,12936,29064
1400,42316,12400,0,22777,14030,30592
1500,48162,13408,0,24741,15348,34181
1600,53830,14319,0,26237,16660,35679
1700,58634,15127,0,28020,17684,38216
1800,64937,15980,0,29575,19057,42052
1900,70836,16748,0,31090,20158,43719
2000,76748,17459,0,32583,22023,46196
2100,83332,18482,0,34027,22883,47866
2200,88607,19670,0,35486,24009,51265
2300,96270,20947,0,37040,25165,56702
2400,104620,22061,0,38695,26024,57563
2500,108968,23373,0,39942,27415,61384
2600,119299,24364,0,41667,28375,61623
2700,126651,25265,0,43264,29772,66124
2800,133779,26418,0,45035,30908,66835
2900,143809,27368,0,46665,32343,68975
3000,153270,28167,0,48542,33771,73741
