array_len,str_quick,str_merge,msd_radix,msd_radix_quick,merge_default,quick_default
100,0,1,0,0,0,0
200,1,3,1,1,2,1
300,2,5,1,2,3,1
400,2,7,2,4,4,2
500,4,12,3,4,5,2
600,4,11,4,5,6,3
700,7,17,7,9,8,5
800,10,25,8,10,11,5
900,10,26,8,7,12,7
1000,10,23,10,8,12,5
1100,13,22,7,9,13,8
1200,12,25,9,11,17,9
1300,16,33,11,11,21,10
1400,20,36,9,11,18,7
1500,23,36,12,18,18,12
1600,19,35,11,13,19,10
1700,21,38,12,15,21,12
1800,23,40,12,16,25,10
1900,32,48,12,15,25,15
2000,37,59,15,28,29,12
2100,33,56,16,19,32,12
2200,34,52,14,18,27,15
2300,52,67,16,24,28,13
2400,46,80,22,20,31,20
2500,46,57,21,30,31,15
2600,51,69,20,25,32,15
2700,46,61,17,22,33,16
2800,49,64,18,23,34,16
2900,53,78,20,23,34,18
3000,56,84,22,25,35,17
